A0,B99,C690
A282,B615,C519
A283,B578,C837
A284,B729,C640
A285,B179,C845
A286,B882,C885
A287,B877,C888
A288,B464,C50
A289,B449,C240
A290,B418,C344
A291,B865,C770
A292,B166,C743
A293,B245,C85
A294,B838,C333
A295,B206,C23
A296,B50,C962
A297,B388,C922
A298,B29,C276
A299,B832,C659
A300,B551,C923
A301,B616,C408
A302,B308,C279
A303,B315,C901
A304,B483,C682
A305,B84,C405
A306,B658,C112
A307,B102,C517
A308,B699,C551
A309,B471,C117
A310,B51,C926
A311,B227,C594
A312,B638,C540
A313,B461,C109
A314,B172,C484
A315,B665,C842
A316,B506,C587
A317,B67,C667
A318,B61,C656
A319,B845,C960
A320,B385,C421
A321,B220,C163
A322,B103,C887
A323,B879,C19
A324,B793,C591
A325,B742,C818
A326,B201,C155
A327,B173,C955
A328,B66,C477
A329,B365,C346
A330,B376,C659
A331,B756,C785
A332,B656,C674
A333,B885,C401
A334,B68,C108
A335,B881,C177
A336,B90,C456
A337,B208,C83
A338,B789,C563
A339,B741,C190
A340,B688,C495
A341,B883,C194
A342,B899,C859
A343,B741,C857
A344,B505,C325
A345,B301,C127
A346,B15,C306
A347,B788,C695
A348,B611,C378
A349,B2,C638
A350,B892,C168
A351,B174,C530
A352,B809,C932
A353,B710,C497
A354,B383,C201
A355,B280,C381
A356,B671,C894
A357,B5,C35
A358,B898,C354
A359,B614,C507
A360,B823,C419
A361,B672,C309
A362,B1,C438
A363,B711,C296
A364,B848,C221
A365,B306,C553
A366,B599,C469
A367,B564,C37
A368,B803,C352
A369,B327,C22
A370,B518,C554
A371,B683,C902
A372,B813,C923
A373,B461,C466
A374,B32,C816
A375,B264,C701
A376,B24,C600
A377,B11,C868
A378,B815,C458
A379,B752,C838
A380,B324,C717
A381,B833,C312
A382,B290,C31
A383,B53,C477
A384,B127,C299
A385,B823,C177
A386,B357,C225
A387,B222,C717
A388,B484,C731
A389,B721,C966
A390,B499,C736
A391,B863,C899
A392,B196,C483
A393,B423,C676
A394,B827,C624
A395,B298,C961
A396,B669,C828
A397,B292,C435
A398,B697,C329
A399,B282,C605
A400,B467,C315
A401,B804,C828
A402,B343,C370
A403,B38,C92
A404,B87,C606
A405,B561,C17
A406,B41,C55
A407,B654,C441
A408,B155,C776
A409,B398,C333
A410,B865,C717
A411,B108,C608
A412,B420,C977
A413,B719,C528
A414,B308,C739
A415,B281,C60
A416,B9,C516
A417,B401,C870
A418,B196,C3
A419,B319,C313
A420,B631,C942
A421,B733,C875
A422,B66,C587
A423,B626,C59
A424,B262,C320
A425,B775,C838
A426,B623,C160
A427,B519,C839
A428,B560,C357
A429,B670,C87
A430,B433,C353
A431,B191,C221
A432,B45,C968
A433,B782,C780
A434,B325,C40
A435,B538,C552
A436,B327,C106
A437,B647,C159
A438,B804,C491
A439,B530,C40
A440,B259,C62
A441,B512,C257
A442,B213,C849
A443,B652,C657
A444,B51,C398
A445,B512,C309
A446,B152,C791
A447,B188,C394
A448,B771,C540
A449,B734,C601
A450,B651,C576
A451,B2,C53
A452,B242,C791
A453,B812,C998
A454,B278,C811
A455,B281,C206
A456,B883,C83
A457,B811,C933
A458,B240,C681
A459,B335,C158
A460,B492,C116
A461,B350,C63
A462,B82,C726
A463,B775,C897
A464,B796,C839
A465,B383,C359
A466,B484,C982
A467,B814,C226
A468,B504,C972
A469,B150,C277
A470,B886,C659
A471,B379,C939
A472,B397,C916
A473,B672,C435
A474,B32,C808
A475,B164,C933
A476,B660,C411
A477,B560,C403
A478,B216,C94
A479,B650,C459
A480,B491,C66
A481,B104,C263
A482,B546,C686
A483,B260,C783
A484,B672,C776
A485,B875,C828
A486,B155,C863
A487,B686,C582
A488,B14,C683
A489,B810,C431
A490,B112,C964
A491,B333,C715
A492,B289,C174
A493,B381,C157
A494,B32,C715
A495,B358,C710
A496,B483,C578
A497,B413,C495
A498,B887,C437
A499,B341,C830
A500,B566,C734
A501,B796,C355
A502,B708,C252
A503,B288,C433
A504,B303,C230
A505,B887,C867
A506,B200,C303
A507,B105,C610
A508,B664,C585
A509,B51,C689
A510,B368,C869
A511,B28,C164
A512,B52,C188
A513,B286,C20
A514,B451,C480
A515,B486,C478
A516,B8,C514
A517,B782,C944
A518,B197,C221
A519,B131,C285
A520,B56,C626
A521,B334,C348
A522,B896,C895
A523,B150,C534
A524,B472,C845
A525,B232,C57
A526,B835,C756
A527,B169,C643
A528,B829,C471
A529,B570,C93
A530,B179,C324
A531,B191,C801
A532,B472,C652
A533,B409,C643
A534,B11,C122
A535,B461,C811
A536,B435,C333
A537,B648,C788
A538,B18,C343
A539,B667,C870
A540,B766,C512
A541,B648,C628
A542,B584,C481
A543,B372,C329
A544,B889,C515
A545,B236,C912
A546,B8,C882
A547,B374,C887
A548,B148,C548
A549,B595,C20
A550,B568,C822
A551,B636,C419
A552,B824,C745
A553,B370,C937
A554,B203,C12
A555,B569,C774
A556,B409,C366
A557,B359,C983
A558,B34,C109
A559,B679,C690
A560,B185,C591
A561,B327,C620
A562,B605,C969
A563,B217,C750
A564,B785,C620
A565,B401,C2
A566,B785,C845
A567,B95,C138
A568,B360,C453
A569,B337,C2
A570,B245,C847
A571,B709,C447
A572,B488,C827
A573,B776,C503
A574,B537,C182
A575,B218,C913
A576,B628,C360
A577,B745,C295
A578,B768,C947
A579,B148,C611
A580,B441,C580
A581,B240,C70
A582,B404,C585
A583,B643,C424
A584,B899,C765
A585,B298,C14
A586,B813,C637
A587,B778,C755
A588,B837,C374
A589,B210,C322
A590,B635,C570
A591,B738,C30
A592,B182,C696
A593,B557,C27
A594,B777,C282
A595,B185,C50
A596,B527,C330
A597,B187,C378
A598,B862,C159
A599,B734,C474
A600,B299,C243
A601,B628,C366
A602,B630,C739
A603,B845,C853
A604,B436,C121
A605,B240,C856
A606,B11,C784
A607,B340,C983
A608,B309,C539
A609,B358,C982
A610,B456,C331
A611,B602,C578
A612,B91,C799
A613,B693,C80
A614,B152,C222
A615,B177,C582
A616,B641,C214
A617,B420,C279
A618,B429,C803
A619,B852,C906
A620,B466,C863
A621,B545,C130
A622,B673,C216
A623,B143,C409
A624,B140,C299
A625,B602,C651
A626,B1,C92
A627,B543,C328
A628,B740,C356
A629,B511,C771
A630,B413,C917
A631,B210,C521
A632,B890,C890
A633,B74,C403
A634,B442,C602
A635,B565,C333
A636,B776,C379
A637,B59,C10
A638,B298,C706
A639,B42,C129
A640,B686,C312
A641,B304,C906
A642,B801,C714
A643,B20,C425
A644,B56,C921
A645,B645,C218
A646,B479,C790
A647,B898,C69
A648,B80,C9
A649,B768,C34
A650,B286,C98
A651,B502,C528
A652,B728,C655
A653,B294,C286
A654,B177,C248
A655,B656,C427
A656,B233,C257
A657,B525,C71
A658,B269,C703
A659,B341,C351
A660,B599,C839
A661,B634,C529
A662,B874,C876
A663,B564,C762
A664,B843,C194
A665,B506,C102
A666,B346,C108
A667,B878,C836
A668,B729,C782
A669,B892,C128
A670,B160,C48
A671,B560,C884
A672,B617,C141
A673,B894,C88
A674,B593,C739
A675,B782,C645
A676,B662,C573
A677,B239,C222
A678,B58,C256
A679,B834,C450
A680,B353,C123
A681,B221,C366
A682,B36,C3
A683,B491,C606
A684,B544,C302
A685,B649,C572
A686,B149,C190
A687,B797,C621
A688,B360,C222
A689,B751,C968
A690,B225,C215
A691,B786,C797
A692,B66,C622
A693,B3,C529
A694,B645,C803
A695,B540,C478
A696,B133,C303
A697,B664,C605
A698,B89,C719
A699,B688,C610
A700,B378,C671
A701,B136,C136
A702,B51,C595
A703,B595,C636
A704,B753,C764
A705,B513,C392
A706,B290,C590
A707,B280,C183
A708,B35,C594
A709,B581,C293
A710,B802,C521
A711,B778,C932
A712,B216,C443
A713,B642,C981
A714,B822,C821
A715,B495,C289
A716,B495,C501
A717,B747,C21
A718,B326,C545
A719,B453,C90
A720,B293,C782
A721,B369,C634
A722,B623,C476
A723,B452,C63
A724,B469,C432
A725,B586,C127
A726,B17,C54
A727,B360,C877
A728,B718,C117
A729,B739,C474
A730,B543,C224
A731,B765,C898
A732,B746,C657
A733,B373,C442
A734,B48,C216
A735,B470,C860
A736,B576,C542
A737,B245,C414
A738,B205,C618
A739,B164,C696
A740,B446,C382
A741,B102,C476
A742,B657,C243
A743,B441,C652
A744,B607,C103
A745,B343,C498
A746,B884,C514
A747,B677,C10
A748,B629,C338
A749,B315,C627
A750,B563,C837
A751,B891,C914
A752,B771,C432
A753,B451,C468
A754,B323,C294
A755,B716,C704
A756,B716,C569
A757,B557,C901
A758,B319,C759
A759,B399,C458
A760,B17,C970
A761,B638,C424
A762,B836,C920
A763,B601,C998
A764,B442,C236
A765,B398,C317
A766,B283,C171
A767,B679,C295
A768,B513,C89
A769,B779,C249
A770,B548,C195
A771,B240,C862
A772,B250,C368
A773,B296,C631
A774,B300,C429
A775,B711,C291
A776,B84,C743
A777,B263,C77
A778,B464,C802
A779,B307,C867
A780,B839,C821
A781,B803,C716
A782,B826,C481
A783,B848,C636
A784,B548,C811
A785,B374,C454
A786,B293,C480
A787,B670,C744
A788,B692,C3
A789,B88,C955
A790,B858,C364
A791,B699,C260
A792,B289,C889
A793,B363,C356
A794,B135,C875
A795,B266,C125
A796,B635,C322
A797,B817,C448
A798,B236,C106
A799,B376,C747
A800,B379,C934
A801,B88,C643
A802,B82,C936
A803,B491,C971
A804,B664,C90
A805,B698,C518
A806,B500,C318
A807,B887,C189
A808,B455,C524
A809,B546,C636
A810,B20,C624
A811,B48,C983
A812,B289,C782
A813,B359,C50
A814,B178,C701
A815,B774,C165
A816,B382,C35
A817,B55,C645
A818,B413,C107
A819,B364,C309
A820,B551,C31
A821,B11,C149
A822,B542,C773
A823,B54,C721
A824,B594,C164
A825,B560,C28
A826,B459,C825
A827,B749,C821
A828,B669,C749
A829,B475,C424
A830,B317,C648
A831,B884,C417
A832,B462,C888
A833,B320,C373
A834,B759,C839
A835,B458,C326
A836,B579,C339
A837,B133,C773
A838,B249,C532
A839,B166,C727
A840,B592,C595
A841,B515,C543
A842,B351,C125
A843,B338,C54
A844,B319,C495
A845,B2,C767
A846,B290,C590
A847,B322,C1
A848,B715,C668
A849,B433,C843
A850,B643,C54
A851,B755,C593
A852,B844,C821
A853,B677,C911
A854,B410,C365
A855,B6,C844
A856,B181,C204
A857,B242,C689
A858,B148,C214
A859,B43,C522
A860,B551,C720
A861,B194,C592
A862,B461,C185
A863,B73,C994
A864,B292,C367
A865,B462,C788
A866,B752,C98
A867,B51,C136
A868,B48,C717
A869,B633,C64
A870,B223,C388
A871,B654,C459
A872,B251,C228
A873,B722,C605
A874,B35,C86
A875,B505,C850
A876,B541,C681
A877,B877,C477
A878,B874,C870
A879,B646,C219
A880,B747,C925
A881,B776,C158
A882,B323,C522
A883,B299,C269
A884,B760,C943
A885,B244,C679
A886,B715,C972
A887,B114,C625
A888,B403,C301
A889,B130,C580
A890,B69,C843
A891,B310,C941
A892,B761,C862
A893,B718,C432
A894,B851,C370
A895,B611,C9
A896,B65,C823
A897,B752,C515
A898,B896,C137
A899,B260,C346
A900,B135,C174
A901,B694,C803
A902,B9,C664
A903,B496,C314
A904,B608,C922
A905,B126,C756
A906,B13,C619
A907,B158,C605
A908,B144,C747
A909,B52,C971
A910,B30,C508
A911,B672,C659
A912,B286,C748
A913,B694,C781
A914,B143,C97
A915,B217,C607
A916,B491,C474
A917,B865,C18
A918,B631,C120
A919,B323,C14
A920,B376,C687
A921,B37,C267
A922,B498,C249
A923,B393,C772
A924,B577,C985
A925,B864,C905
A926,B340,C456
A927,B742,C386
A928,B660,C173
A929,B414,C139
A930,B731,C314
A931,B767,C443
A932,B210,C35
A933,B844,C298
A934,B764,C333
A935,B863,C146
A936,B357,C278
A937,B721,C128
A938,B835,C159
A939,B38,C754
A940,B790,C512
A941,B570,C554
A942,B784,C768
A943,B102,C364
A944,B826,C93
A945,B659,C129
A946,B23,C292
A947,B894,C57
A948,B825,C18
A949,B58,C71
A950,B434,C567
A951,B787,C485
A952,B334,C756
A953,B373,C552
A954,B639,C272
A955,B372,C534
A956,B244,C168
A957,B555,C471
A958,B710,C365
A959,B528,C296
A960,B195,C197
A961,B2,C816
A962,B469,C325
A963,B417,C456
A964,B725,C314
A965,B251,C939
A966,B334,C512
A967,B756,C156
A968,B301,C429
A969,B798,C767
A970,B596,C454
A971,B591,C643
A972,B448,C663
A973,B712,C627
A974,B790,C14
A975,B360,C159
A976,B337,C695
A977,B261,C785
A978,B368,C370
A979,B449,C639
A980,B150,C377
A981,B536,C337
A982,B419,C586
A983,B375,C247
A984,B761,C310
A985,B480,C363
A986,B870,C945
A987,B341,C53
A988,B544,C926
A989,B799,C620
A990,B705,C429
A991,B91,C690
A992,B32,C68
A993,B137,C819
A994,B666,C149
A995,B409,C367
A996,B701,C280
A997,B612,C770
A998,B652,C220
A999,B8,C170
A0,B858,A461
A1,B96,A228
A2,B870,A353
A3,B510,A628
A4,B646,A855
A5,B672,A177
A6,B26,A866
A7,B288,A626
A8,B88,A463
A9,B174,A343
A10,B236,A220
A11,B54,A532
A12,B392,A634
A13,B222,A710
A14,B477,A369
A15,B174,A290
A16,B360,A750
A17,B96,A562
A18,B86,A499
A19,B469,A792
A20,B604,A185
A21,B533,A880
A22,B882,A433
A23,B11,A159
A24,B786,A148
A25,B506,A225
A26,B570,A552
A27,B628,A495
A28,B877,A565
A29,B96,A448
A30,B27,A758
A31,B520,A546
A32,B848,A947
A33,B439,A128
A34,B331,A497
A35,B753,A47
A36,B211,A391
A37,B479,A920
A38,B586,A573
A39,B122,A282
A40,B105,A353
A41,B47,A453
A42,B382,A356
A43,B608,A609
A44,B560,A493
A45,B402,A195
A46,B640,A220
A47,B161,A66
A48,B599,A632
A49,B752,A619
A50,B483,A554
A51,B566,A228
A52,B394,A166
A53,B483,A61
A54,B887,A289
A55,B888,A65
A56,B640,A593
A57,B363,A986
A58,B887,A929
A59,B123,A552
A60,B785,A723
A61,B793,A800
A62,B793,A90
A63,B763,A930
A64,B253,A827
A65,B709,A407
A66,B450,A68
A67,B781,A812
A68,B114,A938
A69,B604,A891
A70,B739,A879
A71,B633,A35
A72,B522,A542
A73,B588,A848
A74,B887,A976
A75,B15,A697
A76,B44,A939
A77,B171,A644
A78,B16,A300
A79,B456,A565
A80,B195,A118
A81,B208,A490
A82,B806,A480
A83,B295,A843
A84,B675,A767
A85,B200,A876
A86,B720,A31
A87,B333,A688
A88,B71,A848
A89,B373,A645
A90,B661,A479
A91,B546,A274
A92,B219,A826
A93,B655,A93
A94,B13,A229
A95,B682,A710
A96,B19,A286
A97,B555,A764
A98,B66,A190
A99,B815,A927
A100,B859,A861
A101,B719,A892
A102,B438,A356
A103,B254,A322
A104,B475,A587
A105,B40,A593
A106,B836,A26
A107,B468,A855
A108,B792,A134
A109,B115,A713
A110,B81,A832
A111,B615,A964
A112,B594,A867
A113,B814,A475
A114,B24,A933
A115,B432,A262
A116,B309,A675
A117,B804,A843
A118,B142,A862
A119,B96,A765
A120,B736,A381
A121,B222,A375
A122,B160,A393
A123,B864,A945
A124,B197,A5
A125,B216,A682
A126,B67,A74
A127,B256,A298
A128,B286,A972
A129,B727,A502
A130,B311,A418
A131,B411,A253
A132,B746,A378
A133,B785,A763
A134,B32,A538
A135,B64,A307
A136,B600,A714
A137,B478,A518
A138,B123,A781
A139,B299,A442
A140,B259,A427
A141,B69,A263
A142,B202,A996
A143,B189,A588
A144,B121,A20
A145,B278,A314
A146,B481,A412
A147,B486,A199
A148,B139,A52
A149,B504,A798
A150,B82,A978
A151,B672,A801
A152,B441,A127
A153,B324,A443
A154,B850,A125
A155,B669,A525
A156,B445,A153
A157,B166,A725
A158,B421,A276
A159,B570,A696
A160,B710,A615
A161,B876,A267
A162,B487,A704
A163,B386,A198
A164,B869,A116
A165,B322,A763
A166,B197,A148
A167,B81,A173
A168,B124,A918
A169,B463,A45
A170,B577,A280
A171,B749,A725
A172,B215,A453
A173,B246,A302
A174,B295,A218
A175,B233,A197
A176,B73,A698
A177,B533,A211
A178,B764,A566
A179,B823,A62
A180,B415,A216
A181,B492,A998
A182,B229,A504
A183,B517,A577
A184,B253,A130
A185,B310,A582
A186,B530,A910
A187,B842,A624
A188,B685,A167
A189,B7,A92
A190,B41,A299
A191,B215,A806
A192,B192,A168
A193,B577,A335
A194,B138,A756
A195,B168,A227
A196,B458,A220
A197,B233,A43
A198,B27,A953
A199,B467,A417
A0,B156,B405
A1,B502,B544
A2,B726,B527
A3,B694,B24
A4,B260,B699
A5,B205,B851
A6,B603,B551
A7,B133,B13
A8,B349,B69
A9,B330,B502
A10,B876,B562
A11,B628,B480
A12,B619,B210
A13,B665,B838
A14,B644,B426
A15,B257,B116
A16,B494,B99
A17,B492,B131
A18,B235,B637
A19,B268,B852
A20,B725,B186
A21,B676,B47
A22,B352,B181
A23,B570,B579
A24,B438,B730
A25,B564,B721
A26,B744,B748
A27,B673,B248
A28,B875,B606
A29,B95,B24
A30,B17,B637
A31,B746,B704
A32,B281,B456
A33,B602,B281
A34,B200,B267
A35,B3,B495
A36,B777,B12
A37,B155,B384
A38,B46,B449
A39,B556,B883
A40,B694,B419
A41,B559,B164
A42,B567,B419
A43,B759,B136
A44,B149,B851
A45,B367,B182
A46,B189,B237
A47,B156,B548
A48,B143,B563
A49,B882,B236
A50,B843,B413
A51,B447,B814
A52,B511,B639
A53,B197,B797
A54,B127,B211
A55,B779,B691
A56,B789,B388
A57,B866,B157
A58,B598,B755
A59,B632,B611
A60,B749,B622
A61,B346,B86
A62,B249,B145
A63,B259,B654
A64,B590,B730
A65,B791,B540
A66,B232,B102
A67,B853,B177
A68,B350,B500
A69,B580,B812
A70,B202,B403
A71,B780,B856
A72,B592,B557
A73,B884,B679
A74,B621,B717
A75,B54,B656
A76,B721,B164
A77,B413,B894
A78,B42,B707
A79,B64,B667
A80,B126,B158
A81,B515,B291
A82,B306,B407
A83,B11,B649
A84,B217,B214
A85,B859,B497
A86,B394,B811
A87,B848,B571
A88,B832,B509
A89,B282,B700
A90,B72,B145
A91,B473,B455
A92,B714,B711
A93,B676,B406
A94,B842,B597
A95,B353,B101
A96,B591,B346
A97,B75,B333
A98,B83,B781
A99,B511,B612
A100,B700,B593
A101,B114,B590
A102,B660,B307
A103,B624,B413
A104,B561,B159
A105,B160,B371
A106,B183,B417
A107,B639,B29
A108,B56,B293
A109,B503,B129
A110,B765,B327
A111,B520,B469
A112,B720,B651
A113,B531,B557
A114,B830,B399
A115,B6,B206
A116,B213,B367
A117,B646,B730
A118,B297,B454
A119,B173,B556
A120,B256,B62
A121,B202,B368
A122,B557,B126
A123,B225,B406
A124,B613,B386
A125,B480,B205
A126,B477,B104
A127,B8,B758
A128,B10,B462
A129,B202,B215
A130,B84,B382
A131,B779,B300
A132,B501,B348
A133,B315,B205
A134,B146,B410
A135,B889,B19
A136,B10,B72
A137,B247,B828
A138,B621,B832
A139,B302,B771
A140,B509,B874
A141,B207,B354
A142,B739,B771
A143,B385,B92
A144,B218,B367
A145,B150,B639
A146,B778,B801
A147,B771,B164
A148,B572,B840
A149,B397,B430
A150,B807,B624
A151,B294,B809
A152,B591,B728
A153,B623,B413
A154,B727,B21
A155,B839,B10
A156,B127,B373
A157,B751,B746
A158,B237,B25
A159,B377,B480
A160,B338,B279
A161,B638,B839
A162,B92,B783
A163,B514,B601
A164,B776,B718
A165,B569,B159
A166,B90,B863
A167,B738,B276
A168,B409,B522
A169,B479,B315
A170,B431,B645
A171,B769,B254
A172,B403,B139
A173,B449,B123
A174,B682,B339
A175,B826,B860
A176,B314,B895
A177,B554,B173
A178,B577,B183
A179,B890,B728
A180,B560,B503
A181,B766,B709
A182,B562,B225
A183,B890,B359
A184,B853,B116
A185,B675,B807
A186,B677,B831
A187,B480,B825
A188,B730,B506
A189,B278,B702
A190,B345,B56
A191,B600,B463
A192,B115,B43
A193,B2,B555
A194,B714,B565
A195,B30,B633
A196,B695,B657
A197,B847,B30
A198,B101,B81
A199,B274,B839
