A1,B8196,C3566
A1200,B5702,C9552
A1201,B182,C9552
A1201,B7443,C7374
A1202,B2972,C9772
A1202,B7765,C6106
A1202,B8026,C5018
A1204,B8985,C6262
A1205,B7094,C696
A1206,B4184,C6188
A1206,B7228,C3974
A1209,B6156,C3068
A1209,B8215,C4063
A121,B4720,C9779
A121,B9628,C947
A1212,B1644,C5461
A1215,B7138,C5091
A1215,B9221,C7565
A1217,B8969,C1345
A1218,B1336,C8388
A1218,B6085,C4636
A1219,B4886,C2791
A1219,B7924,C2505
A1222,B1650,C6057
A1222,B5292,C4817
A1224,B3326,C2117
A1224,B424,C3707
A1224,B6488,C3289
A1225,B5824,C4594
A1225,B7098,C6361
A1227,B9668,C5915
A1229,B4372,C560
A123,B2060,C3921
A1230,B4582,C7080
A1230,B6225,C9115
A1231,B3112,C7751
A1231,B5641,C8102
A1232,B3192,C1201
A1235,B5256,C373
A1235,B9612,C7114
A1236,B1633,C4158
A1238,B7796,C8800
A124,B4444,C245
A124,B6001,C3664
A1240,B407,C4151
A1240,B5055,C7804
A1242,B3549,C5100
A1242,B586,C7261
A1243,B5811,C7820
A1243,B7430,C2276
A1243,B8971,C48
A1244,B572,C1030
A1245,B3480,C8109
A1245,B5059,C6829
A1249,B889,C7736
A125,B3881,C3826
A1251,B3670,C2886
A1252,B1604,C4172
A1253,B4777,C5686
A1254,B687,C4122
A1257,B2625,C3105
A1257,B8410,C7816
A1258,B1849,C9052
A1258,B8355,C9390
A1259,B7833,C6687
A126,B2714,C2407
A126,B5678,C1557
A1261,B3567,C3893
A1261,B7694,C119
A1266,B2130,C7593
A1266,B747,C418
A1267,B8393,C4465
A1268,B1766,C8438
A1268,B5249,C1521
A1268,B6603,C4114
A1269,B1486,C9542
A1269,B598,C2168
A1269,B8402,C1256
A1270,B7451,C923
A1271,B1113,C29
A1272,B4719,C8600
A1272,B8924,C9661
A1275,B2379,C2996
A1277,B8859,C5702
A1278,B2497,C6153
A1278,B9050,C4895
A1279,B3714,C1060
A1279,B8055,C8723
A1279,B9695,C9348
A1281,B1583,C8164
A1281,B9292,C5165
A1282,B2205,C6177
A1283,B9248,C1103
A1284,B6074,C3790
A1285,B6432,C2727
A1286,B6049,C8385
A1286,B9168,C7112
A1287,B3283,C6340
A1287,B6866,C9419
A1287,B9946,C5890
A1289,B4291,C7214
A1290,B3707,C6843
A1292,B779,C7629
A1293,B340,C9
A1293,B3576,C9189
A1295,B7627,C1705
A1295,B8423,C2935
A1296,B6422,C6640
A1297,B1386,C5718
A1297,B1793,C6083
A1297,B1808,C4235
A1299,B5795,C449
A13,B1033,C1841
A130,B9946,C5069
A1300,B4169,C2608
A1300,B5946,C4986
A1301,B5793,C3273
A1301,B7002,C8899
A1301,B9283,C9874
A1303,B2056,C2162
A1303,B5332,C7930
A1303,B7233,C8253
A1304,B9535,C7409
A1308,B3618,C9484
A1309,B6064,C9547
A1309,B6683,C7081
A1309,B893,C36
A131,B367,C8987
A1310,B5965,C9466
A1310,B6122,C8075
A1310,B8195,C2759
A1312,B3290,C6471
A1315,B5377,C532
A1316,B1188,C1313
A1318,B3731,C2915
A1318,B6754,C4500
A1320,B7635,C4731
A1320,B964,C8475
A1322,B8619,C9287
A1323,B5633,C3290
A1324,B9862,C8529
A1325,B809,C4486
A1326,B2467,C593
A1326,B6112,C2551
A1326,B9354,C2419
A1327,B3561,C8524
A133,B1448,C115
A133,B2470,C6937
A133,B7758,C417
A133,B9978,C6160
A1330,B2061,C3890
A1330,B3671,C8828
A1330,B3905,C6361
A1331,B789,C6992
A1332,B820,C9833
A1339,B3853,C5637
A134,B1456,C1831
A134,B8580,C3158
A134,B8621,C145
A1340,B1361,C556
A1340,B5512,C398
A1342,B3214,C8209
A1345,B2550,C2576
A1345,B6572,C9793
A1347,B6978,C9673
A1347,B8875,C4294
A1347,B8882,C6138
A1349,B3020,C8257
A1349,B6771,C524
A135,B8628,C158
A1350,B9402,C701
A1351,B1561,C3106
A1351,B9492,C809
A1352,B8996,C918
A1354,B9528,C1761
A1357,B1221,C1615
A1358,B8659,C3333
A1359,B5271,C8830
A1359,B6165,C9624
A136,B3356,C1301
A136,B443,C3894
A1362,B9280,C2033
A1363,B4401,C3395
A1363,B505,C539
A1364,B3886,C9524
A1364,B9076,C9246
A1365,B2620,C8403
A1366,B221,C496
A1366,B9823,C4592
A1367,B4289,C3203
A1367,B808,C6806
A1367,B8161,C332
A1368,B1628,C7712
A137,B8557,C3513
A1370,B3533,C4317
A1370,B4564,C9333
A1371,B2969,C8675
A1371,B3297,C5966
A1372,B6177,C738
A1373,B2981,C8714
A1374,B826,C3771
A1375,B3150,C6135
A1376,B3677,C7891
A1376,B5068,C7092
A1376,B695,C8179
A1376,B9490,C5691
A1377,B391,C6212
A1377,B690,C2854
A1377,B9313,C5205
A1378,B8083,C4159
A1378,B8710,C8405
A1380,B6503,C6937
A1381,B1944,C7477
A1381,B4716,C1175
A1382,B8068,C7633
A1383,B9181,C2250
A1384,B1304,C2851
A1386,B4548,C1068
A1386,B6822,C56
A1387,B6467,C2682
A1388,B384,C6964
A1389,B4263,C1283
A1390,B2593,C9307
A1390,B4854,C9107
A1394,B2974,C9573
A1395,B1775,C2604
A1396,B6106,C4041
A1397,B3360,C4179
A1398,B2923,C1104
A1399,B4952,C4980
A1399,B7954,C2596
A14,B2851,C4166
A140,B5225,C7090
A1400,B5093,C7861
A1400,B5938,C3289
A1401,B8975,C6727
A1401,B9324,C9964
A1402,B3222,C9470
A1404,B8119,C760
A1404,B9309,C7158
A1409,B5669,C4423
A1409,B7024,C4730
A141,B7611,C1680
A1410,B7283,C8083
A1411,B47,C842
A1411,B8711,C7171
A1414,B7106,C501
A1414,B8634,C4308
A1415,B7456,C304
A1418,B1592,C6079
A1419,B1158,C7658
A1419,B6091,C2309
A1420,B5651,C2231
A1421,B4862,C5439
A1421,B5798,C8243
A1421,B6375,C1576
A1421,B9961,C3886
A1424,B284,C1667
A1424,B3836,C9852
A1424,B5222,C1861
A1424,B5231,C3463
A1428,B3718,C5549
A1430,B3489,C9183
A1431,B8015,C3470
A1433,B144,C1198
A1433,B3149,C2915
A1434,B1988,C394
A1436,B3396,C8411
A1436,B9206,C925
A1439,B8490,C1046
A144,B1817,C8095
A1440,B5732,C7380
A1441,B3802,C3719
A1441,B7756,C7897
A1446,B5832,C2649
A1446,B7848,C6095
A1449,B262,C5291
A1449,B2660,C3189
A1450,B1046,C2778
A1450,B1106,C2338
A1450,B7658,C4388
A1451,B7046,C6840
A1451,B7985,C9673
A1452,B2631,C8432
A1453,B6017,C6213
A1454,B2046,C1233
A1455,B6440,C1316
A1455,B7289,C6764
A1458,B2493,C2299
A1459,B4642,C6451
A1459,B7557,C7656
A146,B7502,C5881
A1460,B8991,C2863
A1461,B1280,C9255
A1462,B741,C8427
A1463,B9092,C586
A1464,B4083,C8175
A1464,B7763,C7447
A1465,B1484,C8312
A1470,B2630,C6310
A1470,B4156,C5920
A1470,B9381,C2478
A1471,B5928,C9082
A1471,B9915,C8238
A1472,B1258,C1966
A1475,B298,C1693
A1478,B2677,C2079
A1478,B9388,C6193
A1479,B359,C7149
A1482,B4932,C8449
A1483,B6719,C5263
A1484,B162,C9151
A1487,B851,C3319
A1489,B8054,C7773
A149,B3653,C1400
A1490,B1212,C2833
A1490,B2646,C8484
A1490,B8067,C6042
A1491,B4640,C532
A1491,B7537,C2277
A1492,B9526,C4904
A1495,B1357,C3834
A1495,B8943,C2433
A1497,B1117,C5841
A1497,B3787,C9619
A1497,B7772,C1896
A1498,B479,C5370
A1498,B6105,C8037
A1498,B9547,C5328
A1499,B4096,C1363
A1499,B8352,C7154
A15,B4665,C6409
A15,B5364,C6187
A150,B3960,C8323
A150,B5037,C6472
A1500,B6510,C9464
A1504,B4735,C209
A1504,B9997,C3037
A1505,B6851,C8404
A1507,B622,C2713
A1508,B659,C362
A1508,B7513,C8984
A1509,B1452,C3824
A1512,B5616,C1480
A1513,B658,C9660
A1513,B7540,C5507
A1515,B2650,C3170
A1515,B3022,C7151
A1516,B1940,C3613
A1516,B8828,C5786
A1517,B8728,C734
A1518,B1014,C1458
A152,B2811,C5087
A152,B4290,C8522
A152,B4625,C9779
A152,B7078,C5781
A1522,B1307,C1281
A1524,B2680,C9788
A1525,B7614,C3325
A1528,B202,C5094
A1529,B8858,C8569
A153,B1895,C4502
A1530,B2641,C2695
A1530,B809,C6421
A1532,B4929,C8928
A1532,B6956,C5768
A1532,B8346,C1552
A1533,B8028,C7430
A1534,B9952,C3594
A1535,B3006,C9109
A1535,B9272,C2453
A1536,B3135,C7252
A1536,B5473,C9884
A1536,B9911,C4234
A1538,B2068,C4483
A1539,B3373,C3335
A1539,B7064,C186
A154,B165,C4147
A154,B6796,C5382
A1540,B3069,C6580
A1540,B4332,C8820
A1544,B7894,C5907
A1545,B289,C5377
A1546,B1126,C6745
A1546,B8257,C3813
A1549,B1537,C207
A1549,B4054,C9247
A1549,B9259,C9487
A155,B5811,C2208
A155,B931,C7871
A1552,B857,C767
A1554,B1498,C7729
A1554,B2480,C8669
A1555,B5225,C6119
A1556,B2052,C2546
A1558,B8255,C4925
A1559,B8073,C9954
A1560,B1495,C5713
A1560,B3827,C6678
A1560,B952,C5172
A1562,B9589,C1876
A1563,B6095,C2904
A1564,B7460,C5471
A1565,B6712,C4872
A1566,B2923,C7730
A1566,B4710,C7894
A1566,B8033,C1908
A1569,B852,C5597
A157,B3437,C9875
A1571,B5485,C6306
A1572,B6529,C2540
A1574,B6450,C6949
A1577,B3339,C231
A1577,B4392,C1481
A1578,B1845,C2915
A1579,B5372,C6003
A1580,B1355,C2821
A1581,B9461,C3292
A1582,B1951,C9317
A1582,B3993,C1754
A1582,B6978,C8001
A1590,B1515,C9104
A1590,B4028,C5695
A1590,B5626,C7177
A1591,B9946,C5749
A1592,B9712,C5555
A1595,B4315,C4172
A1595,B6544,C4968
A1598,B6790,C2624
A1599,B5412,C250
A16,B4037,C5805
A16,B4969,C3883
A1600,B6808,C6243
A1601,B1543,C3447
A1601,B2428,C3089
A1601,B3275,C2256
A1601,B8308,C5007
A1603,B6354,C4358
A1606,B3430,C8579
A1606,B7896,C1721
A1607,B1552,C3559
A1607,B2319,C4559
A1608,B1989,C4470
A1608,B7283,C401
A161,B8335,C8361
A1610,B5160,C5891
A1611,B4129,C9945
A1612,B8580,C2579
A1614,B1954,C1073
A1617,B7223,C2222
A1618,B389,C5563
A1618,B8279,C6076
A1620,B2896,C4428
A1620,B6633,C6534
A1626,B2949,C4648
A1626,B475,C8803
A1627,B3706,C5125
A1627,B971,C7185
A1629,B1537,C8848
A163,B1586,C2839
A1631,B2637,C2986
A1631,B4547,C1380
A1632,B8224,C982
A1633,B7259,C6420
A1634,B7195,C8311
A1635,B5098,C7132
A1636,B8238,C3537
A1637,B4139,C4167
A1637,B6287,C4521
A1637,B8238,C1190
A1638,B3889,C2024
A1639,B4821,C4885
A164,B6406,C5035
A164,B9846,C6122
A1642,B1885,C608
A1642,B2776,C4816
A1644,B9101,C4324
A1645,B5476,C2719
A1646,B2305,C8017
A1646,B5819,C7740
A1649,B6394,C6280
A1652,B6251,C9556
A1652,B850,C7993
A1654,B7700,C3823
A1654,B8685,C5996
A1658,B7518,C1292
A1659,B8816,C9432
A166,B3485,C1219
A166,B4539,C136
A166,B5610,C8547
A166,B9405,C5462
A1660,B2491,C254
A1663,B3919,C2028
A1664,B2650,C7951
A1664,B5825,C3115
A1664,B9029,C4589
A1665,B3603,C5721
A1665,B4905,C3270
A1665,B6539,C5497
A1668,B7597,C6831
A167,B219,C6321
A1672,B555,C1185
A1672,B6745,C5889
A1675,B3871,C7611
A1678,B7864,C6382
A1679,B2780,C4420
A1681,B792,C9065
A1681,B8409,C139
A1683,B9277,C7356
A1685,B7472,C8961
A1686,B4057,C2688
A1686,B7164,C9382
A1687,B2401,C2192
A1688,B1715,C2786
A1688,B7386,C7413
A1688,B8044,C918
A1689,B3674,C1210
A1689,B3906,C3491
A1689,B4387,C1242
A1689,B7507,C6761
A169,B6346,C2357
A1691,B8001,C1444
A1694,B4198,C9346
A1697,B5810,C5799
A1697,B8655,C1464
A1698,B2449,C4440
A1699,B1755,C6794
A1699,B6024,C5602
A17,B4522,C2537
A170,B7930,C5855
A1701,B6038,C5427
A1701,B7417,C108
A1701,B9356,C2433
A1703,B7829,C4513
A1703,B80,C5906
A1705,B5917,C1459
A1706,B5045,C448
A1707,B2401,C895
A1708,B5075,C3961
A1709,B9373,C1561
A1710,B6987,C7920
A1711,B1324,C4679
A1711,B2977,C9570
A1711,B4291,C6298
A1711,B998,C4333
A1713,B6712,C6222
A1714,B2100,C2795
A1715,B1519,C7599
A1718,B3003,C7526
A172,B2,C191
A1720,B4407,C4131
A1721,B1456,C943
A1721,B1713,C9408
A1722,B3691,C5410
A1722,B90,C2900
A1723,B5482,C4442
A1723,B8504,C590
A1724,B4094,C1967
A1724,B9561,C6398
A1725,B8093,C8776
A1728,B3823,C5773
A1728,B6772,C7639
A173,B3187,C8565
A1730,B6219,C7735
A1732,B1484,C8285
A1732,B3926,C7353
A1734,B8199,C6590
A1735,B4920,C720
A1735,B5321,C2050
A1736,B1777,C5868
A1736,B2932,C6280
A1736,B9805,C2545
A1738,B6125,C3668
A1740,B2548,C4626
A1740,B9598,C8625
A1741,B5277,C3708
A1742,B5862,C7666
A1742,B7275,C1650
A1742,B979,C9567
A1743,B8066,C3169
A1744,B2221,C5074
A1745,B8264,C5107
A1746,B3426,C5890
A1748,B8692,C3368
A1749,B9040,C5493
A175,B6701,C2135
A175,B7938,C6140
A1752,B5115,C4254
A1753,B5100,C7680
A1755,B252,C9813
A1756,B4580,C497
A1757,B9905,C9251
A1758,B3113,C7513
A1758,B7366,C8133
A1759,B6191,C8181
A1759,B7099,C1729
A1759,B8178,C2029
A1760,B6105,C8890
A1760,B9832,C1407
A1761,B2614,C2388
A1762,B5424,C5761
A1762,B8959,C2491
A1763,B9851,C6319
A1765,B4847,C6804
A1768,B1220,C5019
A1768,B2344,C5779
A1768,B3374,C6185
A177,B9285,C4542
A1770,B9254,C2850
A1771,B7995,C5263
A1771,B827,C8646
A1772,B4347,C703
A1774,B9886,C3411
A1776,B2546,C4603
A1776,B6290,C8868
A1776,B8614,C9683
A1777,B2247,C2929
A1777,B6058,C879
A1778,B1450,C8359
A1779,B4477,C7418
A1782,B6826,C9871
A1783,B6685,C6821
A1785,B7180,C3503
A1786,B5953,C1150
A1787,B266,C6780
A1787,B7540,C1320
A1788,B6540,C9898
A1788,B8093,C8799
A1788,B9061,C4211
A1791,B5182,C1584
A1792,B184,C2010
A1793,B7487,C7507
A1793,B7750,C9075
A1793,B78,C2072
A1793,B9521,C1089
A1794,B8086,C6371
A1795,B7045,C4283
A1796,B8957,C1297
A1797,B3385,C6194
A1798,B8408,C3290
A1798,B9410,C224
A1799,B5670,C6621
A1799,B8541,C2340
A18,B6794,C2195
A180,B5734,C6235
A1800,B8006,C5862
A1802,B4218,C9540
A1804,B2051,C3753
A1807,B224,C5277
A1808,B7924,C9611
A1811,B1201,C9249
A1813,B3324,C2358
A1813,B8211,C2525
A1813,B9380,C302
A1814,B4065,C7133
A1814,B9171,C4038
A1815,B7697,C1448
A1816,B3241,C9647
A1816,B356,C5754
A1816,B5094,C9021
A1817,B7554,C3019
A1818,B1502,C136
A1818,B5429,C6495
A1818,B9125,C1189
A1819,B1151,C6266
A1819,B1599,C7955
A1823,B7913,C6410
A1824,B2105,C8987
A1824,B3617,C227
A1824,B6247,C2744
A1825,B6906,C6097
A1826,B1623,C4159
A1829,B9462,C2296
A183,B2509,C800
A1830,B2101,C4594
A1830,B4707,C6019
A1832,B137,C8993
A1832,B1799,C3491
A1834,B1501,C7557
A1835,B8620,C4314
A1838,B1670,C2974
A1839,B3521,C7040
A1839,B7134,C3942
A1839,B983,C976
A1840,B8171,C4887
A1842,B3100,C1391
A1842,B6844,C8769
A1843,B2324,C711
A1843,B6806,C8416
A1844,B6122,C8163
A1845,B2698,C584
A1845,B8349,C4828
A1847,B7257,C1257
A1847,B9196,C933
A1849,B6900,C3477
A1851,B2985,C9554
A1851,B7165,C577
A1851,B7833,C6700
A1852,B1158,C4674
A1852,B4156,C7293
A1852,B7674,C7467
A1855,B55,C474
A1855,B8306,C9806
A1856,B4460,C4735
A1856,B9938,C931
A1857,B8293,C7053
A1858,B1379,C1619
A1858,B3261,C1394
A1859,B8059,C1046
A1859,B8290,C5189
A1859,B9109,C4532
A1861,B4701,C7923
A1861,B5344,C3257
A1861,B7254,C9109
A1862,B8029,C5100
A1864,B8139,C4179
A1865,B4177,C4676
A1865,B7000,C8296
A1866,B2712,C3097
A1866,B5294,C9313
A187,B1409,C903
A187,B5794,C8836
A1871,B4982,C3587
A1872,B6426,C9400
A1872,B7745,C3726
A1873,B7323,C872
A1874,B3800,C373
A1876,B5258,C6855
A1877,B304,C5618
A1877,B4897,C8532
A1879,B3584,C8441
A1879,B6607,C8953
A1879,B699,C6719
A188,B4447,C8977
A1880,B3242,C3251
A1881,B1318,C5745
A1882,B4276,C5243
A1882,B4481,C2469
A1883,B4189,C4431
A1883,B9805,C4698
A1885,B1973,C6532
A1885,B2184,C9665
A1886,B5448,C1774
A1887,B2238,C8782
A1887,B2471,C3585
A1888,B2578,C3295
A1888,B2805,C3453
A1888,B4997,C4580
A1894,B5104,C7606
A1894,B8230,C340
A1895,B3922,C6852
A19,B988,C7334
A190,B6675,C5166
A190,B9611,C5085
A1901,B6849,C8228
A1902,B319,C6548
A1902,B707,C3896
A1903,B694,C9516
A1903,B8947,C4398
A1904,B7606,C9881
A1905,B19,C7565
A1905,B9390,C5302
A1905,B999,C2931
A1908,B286,C8356
A1908,B4754,C691
A191,B4965,C2942
A191,B9410,C1032
A1910,B2314,C5326
A1910,B4993,C3449
A1911,B5693,C5873
A1912,B8802,C2379
A1914,B9238,C3788
A1915,B2734,C8508
A1915,B6485,C7387
A1918,B1828,C602
A1919,B8289,C2080
A1920,B4696,C7704
A1920,B705,C8328
A1920,B7811,C5701
A1920,B9055,C8264
A1921,B1960,C25
A1921,B7422,C361
A1925,B1018,C2176
A1925,B3837,C9881
A1925,B8397,C1432
A1927,B6703,C778
A1929,B9993,C8411
A1930,B6643,C8424
A1932,B9333,C4602
A1933,B3598,C2059
A1935,B814,C6428
A1936,B8692,C7746
A1937,B8142,C9033
A1937,B9193,C3883
A1938,B6337,C1233
A1939,B2756,C288
A1939,B9998,C2950
A194,B4383,C7382
A194,B9943,C6046
A1942,B201,C917
A1944,B4509,C1803
A1946,B6984,C1400
A195,B398,C7290
A1950,B1379,C2572
A1950,B3599,C838
A1954,B7431,C1229
A1955,B4100,C6520
A1956,B1002,C8040
A1956,B7140,C8862
A1957,B698,C3985
A1958,B1464,C8079
A1958,B3415,C8209
A1958,B5041,C5897
A1959,B5984,C2606
A196,B9045,C6594
A196,B9865,C8402
A1960,B1108,C5737
A1961,B1402,C4130
A1962,B4491,C64
A1963,B2998,C4581
A1964,B378,C604
A1964,B5405,C2838
A1964,B8155,C3620
A1965,B5553,C9364
A1966,B2760,C1181
A1967,B5166,C769
A1967,B796,C7460
A1968,B3162,C3371
A1969,B2660,C5358
A197,B1602,C9114
A1971,B8417,C5469
A1975,B8286,C5046
A1976,B3198,C7270
A1976,B6444,C8435
A1978,B3045,C8871
A1978,B3084,C1899
A1978,B7160,C7151
A198,B1258,C569
A1981,B2965,C4731
A1983,B1177,C3248
A1983,B7131,C7777
A1984,B2007,C3676
A1985,B6734,C3382
A1986,B801,C8595
A1987,B328,C6639
A1988,B4285,C2468
A1989,B566,C5896
A199,B4163,C5503
A1995,B5178,C700
A1996,B2648,C812
A1998,B7224,C3290
A1998,B9534,C5555
A2,B1500,C4721
A2,B6635,C9078
A2000,B2735,C6104
A2001,B322,C2272
A2002,B1082,C6020
A2003,B4404,C7562
A2003,B6238,C295
A2003,B7560,C6926
A2006,B4201,C55
A2006,B9914,C122
A2007,B4053,C7577
A201,B7432,C604
A2011,B5232,C7160
A2012,B1322,C3502
A2013,B2897,C432
A2013,B3124,C7822
A2013,B5826,C9118
A2013,B9453,C1390
A2016,B4135,C4813
A2016,B6095,C1664
A2018,B4034,C5911
A2018,B461,C3712
A2019,B4532,C5362
A2019,B5112,C3144
A2019,B5578,C3302
A202,B4185,C3180
A202,B6167,C4383
A2020,B5155,C9644
A2020,B6584,C6356
A2020,B7685,C2510
A2023,B4646,C6209
A2023,B6914,C7034
A2023,B7836,C178
A2028,B5733,C8116
A2028,B7903,C2294
A2028,B8938,C5403
A2029,B7065,C5873
A2030,B4560,C7487
A2030,B6279,C4126
A2031,B9183,C1009
A2032,B5343,C4073
A2033,B9544,C5748
A2034,B2331,C3326
A2035,B8329,C8853
A2036,B4570,C9677
A2039,B6275,C460
A2039,B6472,C6189
A204,B2891,C4056
A204,B5226,C745
A204,B7976,C7804
A2040,B5078,C2320
A2041,B5266,C1136
A2042,B8658,C8970
A2043,B5169,C6922
A2043,B7530,C1097
A2044,B3280,C7847
A2044,B8144,C6055
A2045,B9682,C7142
A2047,B3022,C1232
A2047,B7914,C4672
A2049,B30,C1286
A2049,B6908,C3154
A2050,B9369,C1494
A2052,B9832,C6746
A2053,B1380,C8816
A2053,B2692,C9236
A2054,B2869,C6412
A2054,B3252,C5087
A2056,B3523,C1964
A2056,B4066,C8235
A2056,B8752,C8486
A2057,B1751,C7823
A2058,B8186,C3533
A2059,B5827,C6255
A2060,B1785,C1031
A2062,B7021,C31
A2062,B9045,C1995
A2063,B2903,C5583
A2064,B7734,C9122
A2067,B2653,C1928
A2068,B8597,C1991
A2068,B9568,C5487
A207,B5747,C5860
A2072,B8078,C2730
A2073,B2436,C1328
A2074,B5999,C257
A2074,B6353,C4042
A2077,B8046,C4270
A2078,B2149,C1495
A2078,B3678,C6436
A2078,B8252,C6345
A2079,B3562,C6820
A2079,B6989,C6425
A208,B6472,C6759
A2081,B3419,C8400
A2083,B1430,C2465
A2087,B7973,C803
A2087,B8630,C6348
A2088,B8185,C7782
A2089,B652,C4562
A2089,B7592,C8326
A209,B2167,C225
A209,B8902,C2646
A2090,B1424,C1467
A2090,B4304,C3272
A2091,B7578,C9313
A2092,B5204,C679
A2093,B8540,C1849
A2095,B2960,C6765
A2097,B4177,C8207
A2097,B6620,C5947
A2098,B3262,C1878
A2098,B9600,C365
A2099,B942,C5109
A21,B2798,C5246
A210,B2643,C2676
A2100,B7626,C8277
A2102,B3504,C4109
